net,length_um
Inst_LUT4AB_ConfigMem.Inst_Frame8_bit9.Q,24.83µm
Inst_LUT4AB_ConfigMem.Inst_Frame19_bit10.Q,24.72µm
_0255_,24.66µm
Inst_LUT4AB_ConfigMem.Inst_Frame8_bit20.Q,24.64µm
Inst_LUT4AB_ConfigMem.Inst_Frame3_bit17.Q,24.58µm
_0289_,24.54µm
E6END[2],24.43µm
net297,24.36µm
_0319_,24.3µm
EE4END[8],24.21µm
W6END[7],24.21µm
Inst_LUT4AB_ConfigMem.Inst_Frame13_bit30.Q,24.16µm
Inst_LUT4AB_ConfigMem.Inst_Frame5_bit29.Q,24.14µm
N4END[12],24.14µm
net192,24.14µm
Inst_LUT4AB_ConfigMem.Inst_Frame0_bit18.Q,24.12µm
WW4END[12],24.05µm
_0358_,23.94µm
Inst_LUT4AB_ConfigMem.Inst_Frame1_bit11.Q,23.86µm
_0082_,23.84µm
W6END[11],23.7µm
Inst_LUT4AB_ConfigMem.Inst_Frame14_bit31.Q,23.63µm
_0349_,23.54µm
Inst_LUT4AB_ConfigMem.Inst_Frame5_bit23.Q,23.52µm
S4END[4],23.46µm
_0204_,23.22µm
Inst_LUT4AB_ConfigMem.Inst_Frame8_bit10.Q,23.18µm
N4END[8],23.17µm
Inst_LUT4AB_ConfigMem.Inst_Frame3_bit19.Q,23.12µm
net410,23.12µm
E6END[4],23.08µm
E6END[6],23.07µm
Inst_LUT4AB_ConfigMem.Inst_Frame9_bit16.Q,23.07µm
Inst_LUT4AB_ConfigMem.Inst_Frame0_bit22.Q,23.015µm
Inst_LUT4AB_ConfigMem.Inst_Frame10_bit27.Q,22.94µm
_0391_,22.88µm
WW4END[5],22.85µm
Inst_LUT4AB_ConfigMem.Inst_Frame1_bit21.Q,22.78µm
_0027_,22.78µm
EE4END[13],22.76µm
Inst_LUT4AB_ConfigMem.Inst_Frame6_bit23.Q,22.69µm
Inst_LUT4AB_ConfigMem.Inst_Frame5_bit24.Q,22.66µm
E6END[7],22.54µm
S4END[12],22.54µm
SS4END[15],22.51µm
SS4END[7],22.49µm
Inst_LUT4AB_ConfigMem.Inst_Frame4_bit14.Q,22.42µm
Inst_LUT4AB_ConfigMem.Inst_Frame6_bit8.Q,22.37µm
Inst_LUT4AB_ConfigMem.Inst_Frame7_bit12.Q,22.32µm
_0327_,22.2µm
S4END[14],22.08µm
WW4END[10],22.08µm
_0586_,21.96µm
_0552_,21.84µm
EE4END[11],21.83µm
_0072_,21.82µm
Inst_LUT4AB_ConfigMem.Inst_Frame5_bit5.Q,21.74µm
_0458_,21.7µm
Inst_LUT4AB_ConfigMem.Inst_Frame5_bit12.Q,21.68µm
_0615_,21.66µm
_0333_,21.62µm
Inst_LUT4AB_ConfigMem.Inst_Frame3_bit8.Q,21.58µm
_0217_,21.42µm
Inst_LUT4AB_switch_matrix.M_EF,21.34µm
S4END[6],21.33µm
_0308_,21.24µm
net51,21.24µm
EE4END[10],21.16µm
_0267_,21.08µm
_0052_,21.06µm
net73,21.02µm
Inst_LUT4AB_ConfigMem.Inst_Frame1_bit14.Q,21µm
Inst_LUT4AB_ConfigMem.Inst_Frame2_bit12.Q,20.77µm
SS4END[8],20.67µm
Inst_LUT4AB_ConfigMem.Inst_Frame5_bit16.Q,20.66µm
Inst_LUT4AB_ConfigMem.Inst_Frame13_bit20.Q,20.64µm
Inst_LUT4AB_ConfigMem.Inst_Frame19_bit25.Q,20.61µm
Inst_LUT4AB_ConfigMem.Inst_Frame1_bit16.Q,20.555µm
NN4END[9],20.47µm
Inst_LUT4AB_ConfigMem.Inst_Frame1_bit15.Q,20.46µm
Inst_LUT4AB_ConfigMem.Inst_Frame9_bit23.Q,20.44µm
_0392_,20.34µm
_0559_,20.33µm
NN4END[12],20.31µm
Inst_LUT4AB_ConfigMem.Inst_Frame3_bit23.Q,20.28µm
net329,20.24µm
_0345_,20.2µm
Inst_LUT4AB_ConfigMem.Inst_Frame2_bit14.Q,20.1µm
_0239_,20.1µm
_0300_,20.02µm
Inst_LUT4AB_ConfigMem.Inst_Frame12_bit21.Q,19.96µm
_0535_,19.89µm
Inst_LUT4AB_ConfigMem.Inst_Frame2_bit13.Q,19.86µm
Inst_LUT4AB_ConfigMem.Inst_Frame8_bit19.Q,19.86µm
Inst_LUT4AB_ConfigMem.Inst_Frame8_bit7.Q,19.86µm
NN4END[13],19.79µm
N4END[5],19.62µm
NN4END[6],19.55µm
Inst_LUT4AB_ConfigMem.Inst_Frame2_bit16.Q,19.5µm
