Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_175_764,VPWR,li1,359.2600,481.4400,1.799966
FILLER_175_751,VPWR,li1,350.7500,481.4400,1.799971
FILLER_175_747,VPWR,li1,349.6000,481.4400,1.799971
FILLER_175_741,VPWR,li1,346.6100,481.4400,1.799974
FILLER_175_729,VPWR,li1,343.1600,481.4400,1.799976
FILLER_175_726,VPWR,li1,339.4800,481.4400,1.799979
FILLER_175_714,VPWR,li1,336.2600,481.4400,1.799982
FILLER_175_702,VPWR,li1,330.7400,481.4400,1.799985
FILLER_175_695,VPWR,li1,325.6800,481.4400,1.799984
FILLER_175_688,VPWR,li1,322.4600,481.4400,1.799983
FILLER_175_673,VPWR,li1,317.4000,481.4400,1.799981
FILLER_175_670,VPWR,li1,313.7200,481.4400,1.799979
FILLER_175_658,VPWR,li1,310.5000,481.4400,1.799977
FILLER_175_646,VPWR,li1,304.9800,481.4400,1.799974
FILLER_175_639,VPWR,li1,299.9200,481.4400,1.799971
FILLER_175_628,VPWR,li1,295.7800,481.4400,1.799970
FILLER_175_617,VPWR,li1,290.7200,481.4400,1.799968
FILLER_175_615,VPWR,li1,288.1900,481.4400,1.799967
FILLER_175_611,VPWR,li1,287.0400,481.4400,1.799966
FILLER_175_596,VPWR,li1,280.6000,481.4400,1.799965
FILLER_175_584,VPWR,li1,276.4600,481.4400,1.799964
FILLER_175_580,VPWR,li1,272.0900,481.4400,1.799963
FILLER_175_571,VPWR,li1,269.1000,481.4400,1.799962
FILLER_175_561,VPWR,li1,263.3500,481.4400,1.799961
FILLER_175_557,VPWR,li1,261.9700,481.4400,1.799961
FILLER_175_549,VPWR,li1,259.4400,481.4400,1.799962
FILLER_175_542,VPWR,li1,255.3000,481.4400,1.799962
FILLER_175_527,VPWR,li1,248.1700,481.4400,1.799963
FILLER_175_519,VPWR,li1,245.6400,481.4400,1.799963
FILLER_175_505,VPWR,li1,239.2000,481.4400,1.799964
FILLER_175_496,VPWR,li1,235.0600,481.4400,1.799965
FILLER_175_484,VPWR,li1,230.4600,481.4400,1.799967
FILLER_175_476,VPWR,li1,224.4800,481.4400,1.799968
FILLER_175_464,VPWR,li1,221.2600,481.4400,1.799969
FILLER_175_452,VPWR,li1,215.7400,481.4400,1.799970
FILLER_175_446,VPWR,li1,210.6800,481.4400,1.799972
FILLER_175_434,VPWR,li1,207.4600,481.4400,1.799973
FILLER_175_422,VPWR,li1,201.9400,481.4400,1.799974
FILLER_175_418,VPWR,li1,197.5700,481.4400,1.799976
FILLER_175_410,VPWR,li1,195.5000,481.4400,1.799976
FILLER_175_403,VPWR,li1,191.3600,481.4400,1.799977
FILLER_175_398,VPWR,li1,188.6000,481.4400,1.799978
FILLER_175_393,VPWR,li1,186.3000,481.4400,1.799979
FILLER_175_391,VPWR,li1,185.1500,481.4400,1.799980
FILLER_175_387,VPWR,li1,184.0000,481.4400,1.799980
FILLER_175_376,VPWR,li1,178.4800,481.4400,1.799983
FILLER_175_372,VPWR,li1,176.4100,481.4400,1.799984
FILLER_175_364,VPWR,li1,174.3400,481.4400,1.799985
FILLER_175_352,VPWR,li1,169.7400,481.4400,1.799982
FILLER_175_348,VPWR,li1,165.3700,481.4400,1.799978
FILLER_175_340,VPWR,li1,163.3000,481.4400,1.799976
FILLER_175_335,VPWR,li1,159.3900,481.4400,1.799972
FILLER_175_331,VPWR,li1,158.2400,481.4400,1.799972
FILLER_175_319,VPWR,li1,154.5600,481.4400,1.799969
FILLER_175_307,VPWR,li1,149.0400,481.4400,1.799965
FILLER_175_303,VPWR,li1,144.6700,481.4400,1.799962
FILLER_175_299,VPWR,li1,143.5200,481.4400,1.799960
FILLER_175_287,VPWR,li1,137.3100,481.4400,1.799956
